# ========
# captured on    : Sun Apr  2 17:54:26 2023
# header version : 1
# data offset    : 368
# data size      : 37536
# feat offset    : 37904
# hostname : ug214
# os release : 5.10.0-21-amd64
# perf version : 5.10.162
# arch : x86_64
# nrcpus online : 16
# nrcpus avail : 16
# cpudesc : 11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz
# cpuid : GenuineIntel,6,167,1
# total memory : 32600996 kB
# cmdline : /usr/bin/perf_5.10 record -- ./bin/main 
# event : name = cycles:u, , id = { 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39 }, size = 120, { sample_period, sample_freq } = 4000, sample_type = IP|TID|TIME|PERIOD, read_format = ID, disabled = 1, inherit = 1, exclude_kernel = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, precise_ip = 2, sample_id_all = 1, exclude_guest = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, bpf_event = 1
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: intel_pt = 9, intel_bts = 8, software = 1, uprobe = 7, cpu = 4, breakpoint = 5, tracepoint = 2, kprobe = 6, i915 = 11, msr = 10
# CACHE info available, use -I to display
# time of first sample : 2238828.189500
# time of last sample : 2238828.465199
# sample duration :    275.698 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=2, pmu_name=generic_arch_v2+
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA 
# ========
#
            main 1360369 2238828.263166:    1000783 cycles:u:      563b4d6b9dbf std::forward<Section const&>+0xd (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.263381:    1026194 cycles:u:      7fad2ddd0f3b str_to_mpn.part.0+0x9b (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.263600:    1047621 cycles:u:      563b4d6a8098 std::is_constant_evaluated+0xa (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.263824:    1065775 cycles:u:      563b4d6b68c5 std::__niter_wrap<std::_Bit_iterator>+0x1a (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264052:    1081146 cycles:u:      563b4d6b3ab0 std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>+0xe4 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264284:    1094171 cycles:u:      563b4d6b01c4 std::allocator_traits<std::allocator<unsigned long> >::deallocate+0x14 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264518:    1105198 cycles:u:      563b4d6a84d4 std::_Bit_reference::operator=+0x3e (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264754:    1114566 cycles:u:      563b4d6a86c4 std::_Bit_iterator::operator*+0x3c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264993:    1122512 cycles:u:      563b4d6b0f47 std::_Hashtable<std::pair<int, int>, std::pair<std::pair<int, int> const, SelectedCourseSection>, std::allocator<std::pair<std::pair<int, int> const, SelectedCourseSection> >, std::__detail::_Select1st, std::equal_to<std::pair<int, int> >, Date_Hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_bucket_index+0x23 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.265233:    1129333 cycles:u:      563b4d6b717f std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::pair<int, int> const, SelectedCourseSection>, true> > >::_M_allocate_node<std::pair<std::pair<int, int>, SelectedCourseSection>&>+0x6f (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.265507:    1132272 cycles:u:      563b4d6b6f6c std::addressof<std::__detail::_Hash_node<std::pair<std::pair<int, int> const, SelectedCourseSection>, true> >+0xc (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.265750:    1119591 cycles:u:      563b4d6c6e10 std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl+0x38 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.265989:    1124022 cycles:u:      563b4d6b3fb6 std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>+0x86 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.266230:    1130147 cycles:u:      563b4d6a9c26 std::_Vector_base<int, std::allocator<int> >::~_Vector_base+0x4c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.266472:    1135736 cycles:u:      563b4d6d67c4 std::__relocate_object_a<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >+0x4c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.266715:    1140576 cycles:u:      563b4d6aaf99 std::_Hashtable<std::pair<int, int>, std::pair<std::pair<int, int> const, SelectedCourseSection>, std::allocator<std::pair<std::pair<int, int> const, SelectedCourseSection> >, std::__detail::_Select1st, std::equal_to<std::pair<int, int> >, Date_Hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Hashtable+0x5d (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.266959:    1144715 cycles:u:      563b4d6a84fa std::_Bit_iterator_base::_Bit_iterator_base+0x4 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.267203:    1148232 cycles:u:      563b4d6b869c std::copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>+0x1c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
